,0
0,14.0
1,16.0
2,24.0
3,43.0
4,50.5
5,63.33333333333333
6,148.33333333333331
7,150.79166666666666
8,158.45833333333331
9,177.45833333333331
10,184.87499999999997
11,197.37499999999997
12,221.37499999999997
13,245.74999791666664
14,252.08333125
15,270.08333125
16,276.41666458333333
17,287.58333125
18,310.58333125
19,321.8749979166667
20,349.87499583333334
21,366.87499583333334
22,372.12499583333334
23,381.95832916666666
24,403.95832916666666
25,414.1666625
26,428.83332916666666
27,466.83332291666665
28,471.99998958333333
29,481.49998958333333
30,503.49998958333333
31,513.6249895833333
32,527.9583229166667
33,554.9583229166667
34,582.0416479166668
35,590.2083145833334
36,611.2083145833334
37,620.24998125
38,632.24998125
39,658.24998125
40,673.24998125
41,702.0833083333333
42,722.0833083333333
43,731.0833083333333
44,741.7083083333333
45,766.7083083333333
46,780.7083083333333
47,796.124975
48,838.1249666666666
49,846.1249666666666
50,855.3333
51,879.3333
52,892.3333
53,906.3333
54,935.3333
55,965.3332895833333
56,973.12495625
57,996.12495625
58,1008.12495625
59,1020.7082895833333
60,1048.7082895833332
61,1065.7082895833332
62,1094.0832770833333
63,1117.0832770833333
64,1129.0832770833333
65,1141.24994375
66,1169.24994375
67,1186.24994375
68,1203.2082770833333
69,1248.2082625
70,1259.2082625
71,1269.9582625
72,1285.9582625
73,1312.9582625
74,1327.4999291666668
75,1348.4999291666668
76,1392.4999125000002
77,1401.9999125000002
78,1416.8332458333334
79,1442.8332458333334
80,1457.2915791666667
81,1476.9582458333334
82,1507.9582458333334
83,1538.3748937500002
84,1552.8748937500002
85,1578.8748937500002
86,1593.2498937500002
87,1612.5832270833334
88,1643.5832270833334
89,1662.9165604166667
90,1698.374875
91,1723.374875
92,1737.374875
93,1755.374875
94,1785.374875
95,1803.624875
96,1826.4582083333332
97,1872.1665229166665
98,1885.1665229166665
99,1901.4998562499998
100,1930.4998562499998
101,1948.4998562499998
102,1969.9998562499998
103,2003.1248562499998
104,2036.1248354166664
